ykiho,yadmNm,clCdNm,addr,telno,XPos,YPos,estbDd,sidoCdNm,sgguCd,sgguCdNm,emdongNm,postNo
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,연세아이맘소아청소년과의원,의원,"서울특별시 송파구 석촌호수로 130, 신원빌딩 2층 (삼전동)",02-6956-0365,127.0914095,37.5072036,20171208,서울,110018,송파구,삼전동,05599
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,연세아이미스템의원,의원,"서울특별시 강남구 테헤란로 120, 상경빌딩 9층 (역삼동)",02-6014-3100,127.0309467,37.4986172,20240402,서울,110001,강남구,역삼동,06233
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQwMyQzNjEwMDIjNDEjJDEjJDgjJDgz,연세아인의원,의원,"서울특별시 종로구 종로 60-1, 3층 (종로2가)",02-723-9889,126.9841811,37.5699477,20140219,서울,110016,종로구,종로2가,03189
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzMxIyQyIyQ3IyQwMCQyNjEwMDIjNjEjJDEjJDgjJDgz,연세아폴로여성의원,의원,"서울특별시 영등포구 국회대로70길 12, 대산빌딩 4층 401~404호 (여의도동)",,126.9198852,37.5293678,20241002,서울,110013,영등포구,여의도동,07237
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz,연세애드미피부과의원,의원,"서울특별시 도봉구 도봉로 496, 201호 (창동)",02-906-1400,127.0357458,37.6496909,20090316,서울,110006,도봉구,창동,01453
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,연세에스엘의원,의원,"서울특별시 강남구 논현로 833, 4층 (신사동)",02-3443-4888,127.0279100,37.5228358,20061124,서울,110001,강남구,신사동,06032
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ4OSQzNjEwMDIjNjEjJDEjJDAjJDgz,연세에스웰피부과의원,의원,"서울특별시 종로구 종로 19, 404호 (종로1가, 르메이에르종로타운1)",02-2075-7500,126.9798606,37.5708345,20070919,서울,110016,종로구,종로1가,03157
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5MiQyNjE0ODEjNjEjJDEjJDgjJDgz,연세에스의원,의원,"서울특별시 강남구 학동로 171, 삼익악기 빌딩 2층 (논현동)",02-2156-8800,127.0295704,37.5140539,20180430,서울,110001,강남구,논현동,06046
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz,연세에이앤비피부과의원,의원,"서울특별시 송파구 백제고분로 365, 태문빌딩 3층 (석촌동)",02-417-7500,127.1063142,37.5052718,20180213,서울,110018,송파구,석촌동,05616
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ3OSQ0NjE0ODEjODEjJDEjJDIjJDgz,연세에이퀸의원,의원,"서울특별시 송파구 법원로4길 10, 힐스테이트에코문정 (문정동)",02-953-7575,127.1228222,37.4825928,20190531,서울,110018,송파구,문정동,05855
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQwMyQ0NjEwMDIjNjEjJDEjJDAjJDgz,연세엘의원,의원,"서울특별시 중랑구 겸재로 181, (면목동)",6101-3700,127.0878011,37.5886591,20150617,서울,110019,중랑구,면목동,02161
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5MiQyNjEwMDIjNjEjJDEjJDQjJDgz,연세연합의원,의원,"서울특별시 구로구 서해안로 2338, 2,3층 (오류동)",02-2685-0075,126.8441772,37.4934967,20061020,서울,110005,구로구,오류동,08341
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQwMyQzNjEyMjIjNjEjJDEjJDgjJDgz,연세열린의원,의원,"서울특별시 은평구 증산로 297, 201호 (증산동, 청록빌딩)",02-306-3007,126.9092374,37.5838223,20050310,서울,110015,은평구,증산동,03499
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQxIyQ1IyQ4MiQyNjE4MzIjODEjJDEjJDIjJDgz,연세영피부과의원,의원,"서울특별시 은평구 응암로 323, 2층 (응암동)",02-355-7582,126.9218733,37.6002002,20170303,서울,110015,은평구,응암동,03454
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzUxIyQyIyQxIyQwMCQzNjEwMDIjODEjJDEjJDYjJDgz,연세예인의원,의원,"서울특별시 중구 통일로 10, 연세대학교 세브란스빌딩 1층 (남대문로5가)",02-2259-0099,126.9736575,37.5570913,20060918,서울,110017,중구,남대문로5가,04527
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ5OSQzNjEyMjIjODEjJDEjJDYjJDgz,연세예일의원,의원,"서울특별시 은평구 서오릉로 138, 2층 (대조동)",02-357-6867,126.9178298,37.6111905,20080402,서울,110015,은평구,대조동,03394
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ4OSQyNjE4MzIjNDEjJDEjJDgjJDgz,연세오내과의원,의원,"서울특별시 강북구 솔샘로 233, (미아동)",02-986-4965,127.0187184,37.6201527,20080812,서울,110024,강북구,미아동,01189
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ2MiQyNjEyMjIjNjEjJDEjJDAjJDgz,연세오케이신경외과의원,의원,"서울특별시 송파구 오금로 404, 3층 304호 (가락동, 원일빌딩)",02-2038-2712,127.1351390,37.4975970,20150806,서울,110018,송파구,가락동,05769
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQyIyQzIyQwMCQzNjEyMjIjNTEjJDEjJDYjJDgz,연세오케이의원,의원,"서울특별시 중랑구 봉우재로 237, 2,3층 (망우동)",02-434-2112,127.0991266,37.5956489,20061130,서울,110019,중랑구,망우동,02172
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,연세올케어소아청소년과의원,의원,"서울특별시 강남구 도곡로 426, JN빌딩 4층 (대치동)",02-555-2024,127.0571380,37.4973979,20240108,서울,110001,강남구,대치동,06279
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQzIyQwMyQyNjE0ODEjNjEjJDEjJDQjJDgz,연세와이비의원,의원,"서울특별시 강남구 도산대로49길 17, 산딸기빌딩 2층 (신사동)",02-6207-0078,127.0370343,37.5240612,20130228,서울,110001,강남구,신사동,06020
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQ5OSQyNjEwMDIjNTEjJDEjJDIjJDgz,연세외과의원,의원,"서울특별시 마포구 마포대로16길 6, 1~2층 (공덕동)",02-715-6197,126.9562323,37.5507908,19901129,서울,110009,마포구,공덕동,04207
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ4MiQzNjEwMDIjNjEjJDEjJDQjJDgz,연세외과의원,의원,"서울특별시 도봉구 덕릉로 218-1, 3층 (창동)",02-992-9040,127.0373179,37.6374791,19970103,서울,110006,도봉구,창동,01477
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ2MiQzNjEwMDIjNjEjJDEjJDAjJDgz,연세우리365의원,의원,"서울특별시 송파구 거마로20길 23, 2층 201호 (마천동)",02-408-3650,127.1490187,37.4973531,20251111,서울,110018,송파구,마천동,05756
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzQxIyQxIyQ3IyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,연세우리건강내과의원,의원,"서울특별시 강서구 공항대로 625, 지하1, 지상2층 (염창동)",02-2658-8275,126.8742403,37.5472942,20220919,서울,110003,강서구,염창동,07558
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz,연세우리내과의원,의원,"서울특별시 금천구 가산디지털1로 131, A동 225호 (가산동, BYC HIGHCITY)",02-863-7003,126.8819679,37.4770424,20161201,서울,110025,금천구,가산동,08506
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ2MiQyNjE0ODEjNjEjJDEjJDQjJDgz,연세우리내과의원,의원,"서울특별시 은평구 서오릉로 140, (대조동)",02-357-8279,126.9176040,37.6113448,20081117,서울,110015,은평구,대조동,03394
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ4OSQyNjE0ODEjNTEjJDEjJDIjJDgz,연세우리내과의원,의원,"서울특별시 관악구 관천로 17, (신림동)",02-858-0019,126.9284180,37.4816671,20050601,서울,110004,관악구,신림동,08774
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQwMyQzNjEwMDIjODEjJDEjJDYjJDgz,연세우리동네의원,의원,"서울특별시 구로구 개봉로 69, 3층 (개봉동)",02-6952-6875,126.8556252,37.4919134,20231012,서울,110005,구로구,개봉동,08337
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ4MiQyNjE0ODEjNTEjJDEjJDIjJDgz,연세우리들의원,의원,"서울특별시 용산구 청파로47길 53, (청파동3가)",02-716-4385,126.9673770,37.5446800,20031202,서울,110014,용산구,청파동3가,04313
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz,연세우리소아과의원,의원,"서울특별시 종로구 자하문로7길 73, 2~3층 (누하동)",02-732-5275,126.9687989,37.5803882,20030901,서울,110016,종로구,누하동,03036
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ3OSQ0NjEwMDIjODEjJDEjJDYjJDgz,연세우리소아청소년과의원,의원,"서울특별시 영등포구 선유로 70, 209호 (문래동3가, 우리벤처타운2)",02-2671-3302,126.8901620,37.5201718,19950417,서울,110013,영등포구,문래동3가,07294
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNDEjJDEjJDgjJDgz,연세우리소아청소년과의원,의원,"서울특별시 강남구 개포로 265, 개포동 메디시스빌딩 404호 (개포동)",3463-8875,127.0530095,37.4809185,20070831,서울,110001,강남구,개포동,06305
